གྲུ,2116,0.008350%
དེང,2115,0.008346%
རྔ,2108,0.008318%
ཤིས,2102,0.008295%
འཕྲོ,2102,0.008295%
སྒྲོགས,2095,0.008267%
མཚོའི,2091,0.008251%
བརྐྱང,2088,0.008239%
འགལ,2081,0.008212%
འབྲང,2076,0.008192%
བྱུག,2071,0.008172%
ཐོད,2067,0.008157%
དར,2064,0.008145%
ལྟོ,2061,0.008133%
སི,2054,0.008105%
ཁབ,2051,0.008093%
སྦོམ,2051,0.008093%
དྷཱ,2040,0.008050%
རབས,2038,0.008042%
ཞགས,2032,0.008018%
ཤེད,2031,0.008014%
བྱོན,2029,0.008007%
ཐུན,2026,0.007995%
ཙི,2023,0.007983%
གཽ,2023,0.007983%
རངས,2019,0.007967%
དུའོ,2019,0.007967%
སྦྲུལ,2013,0.007943%
གཡོས,2011,0.007936%
སྐྱོ,2004,0.007908%
འདོགས,1977,0.007801%
བཅའ,1974,0.007790%
འདྲི,1972,0.007782%
གདོང,1963,0.007746%
འགྲོའོ,1962,0.007742%
ཡཱ,1962,0.007742%
བསད,1961,0.007738%
ལྡིང,1958,0.007726%
ཕྱིས,1956,0.007719%
བཅོས,1949,0.007691%
མགུ,1946,0.007679%
དངུལ,1945,0.007675%
འདེབས,1941,0.007659%
བཻ,1935,0.007636%
བསྐྱོད,1930,0.007616%
ཀེ,1925,0.007596%
ཚེས,1925,0.007596%
གསོད,1920,0.007576%
འབའ,1904,0.007513%
ཚང,1902,0.007505%
གུད,1898,0.007490%
གླུ,1896,0.007482%
ཤུགས,1891,0.007462%
དམན,1880,0.007419%
འོས,1880,0.007419%
ཉམ,1877,0.007407%
འགགས,1871,0.007383%
རྒོད,1869,0.007375%
འཁྲུལ,1868,0.007371%
ལྡང,1867,0.007367%
ཉུང,1861,0.007344%
ཤོ,1850,0.007300%
ཕལ,1843,0.007273%
